"custKey","custName","custEmail","custCountry","custCreateDate","custChangeDate","metaFilename","metaTimeStamp"
1,"John Doe","johndoe@email.com","USA","2023-08-10","2023-08-10"
2,"Jane Smith","janesmith@email.com","UK","2023-08-10","2023-08-11"
3,"Alice Johnson","alicejohnson@email.com","Canada","2023-08-10","2023-08-12"
4,"Bob Brown","bobbrown@email.com","Australia","2023-08-10","2023-08-13"
5,"Charlie White","charliewhite@email.com","Germany","2023-08-10","2023-08-14"
6,"David Black","davidblack@email.com","France","2023-08-10","2023-08-15"
7,"Eva Green","evagreen@email.com","Spain","2023-08-10","2023-08-16"
8,"Frank Blue","frankblue@email.com","Italy","2023-08-10","2023-08-17"
9,"Grace Red","gracered@email.com","Japan","2023-08-10","2023-08-18"
10,"Henry Yellow","henryyellow@email.com","China","2023-08-10","2023-08-19"
